id,species,location,host,morph,sex,weight
24_0014,T. cristinae,VP,C,S,F,180
24_0016,T. cristinae,VP,C,G,F,198
24_0028,T. cristinae,VP,A,G,F,138
24_0029,T. cristinae,VP,A,G,F,89
24_0030,T. cristinae,VP,A,G,F,103
24_0038,T. cristinae,VP,C,M,F,130
24_0039,T. cristinae,VP,C,M,F,117
24_0041,T. cristinae,VP,C,M,F,180
24_0066,T. cristinae,WCC,C,G,F,124
24_0067,T. cristinae,WCC,C,G,F,105
24_0068,T. cristinae,WCC,C,M,F,120
24_0069,T. cristinae,WCC,C,M,F,145
24_0072,T. cristinae,R12,C,S,F,106
24_0073,T. cristinae,R12,C,G,F,172
24_0074,T. cristinae,R12,C,G,F,156
24_0075,T. cristinae,R12,C,S,F,121
24_0076,T. cristinae,R12,C,S,F,193
24_0077,T. cristinae,R12,C,G,F,119
24_0080,T. cristinae,R12,C,M,M,50
24_0081,T. cristinae,R12,C,M,M,45
24_0087,T. cristinae,VP,A,S,F,106
24_0089,T. cristinae,VP,A,S,F,123
24_0090,T. cristinae,VP,A,M,F,141
24_0126,T. curi,LPL,C;A,G,F,218
24_0127,T. curi,LPL,C;A,G,F,100
24_0128,T. curi,CRH,Cy,S,F,140
24_0129,T. curi,CRH,Cy,S,F,210
24_0138,T. podura,DZR,A,M,F,175
24_0139,T. podura,DZR,A,M,F,192
24_0140,T. podura,DZR,A,M,F,209
24_0151,T. podura,BMT,C,G,F,106
24_0154,T. podura,BMT,C,G,F,118
24_0155,T. chumash,BMT,C,B,F,75
24_0156,T. chumash,BMT,C,B,F,106
24_0159,T. chumash,HF5,O,M,F,106
24_0160,T. chumash,HF5,O,M,F,96
24_0161,T. chumash,HF5,O,B,F,107
24_0162,T. chumash,HF5,O,B,F,119
24_0163,T. chumash,HF5,O,G,F,103
24_0175,T. cristinae,FH,A,S,F,142
24_0176,T. cristinae,FH,A,S,F,153
24_0179,T. cristinae,FH,A,S,F,114
24_0180,T. cristinae,FH,A,S,F,95
